Declaration date,,Declaration date,,
12/30/09,,40177.00 ,,
2/11/10,,40220.00 ,,
7/27/09,,40021.00 ,,
12/29/09,,40176.00 ,,
11/13/08,,39765.00 ,,
4/20/09,,39923.00 ,,
6/22/10,,40351.00 ,,
11/19/08,,39771.00 ,,
8/16/07,,39310.00 ,,
10/20/08,,39741.00 ,,
3/23/11,,40625.00 ,,
12/14/10,,40526.00 ,,
6/27/08,,39626.00 ,,
12/6/07,,39422.00 ,,
11/13/08,,39765.00 ,,
12/11/08,,39793.00 ,,
4/27/11,,40660.00 ,,
10/20/10,,40471.00 ,,
5/28/07,,39230.00 ,,
10/20/08,,39741.00 ,,
2/16/11,,40590.00 ,,
5/12/11,,40675.00 ,,
1/24/07,,39106.00 ,,
9/17/10,,40438.00 ,,
12/21/10,,40533.00 ,,
12/13/10,,40525.00 ,,
1/23/08,,39470.00 ,,
12/21/10,,40533.00 ,,
5/23/11,,40686.00 ,,
12/1/10,,40513.00 ,,
6/8/10,,40337.00 ,,
8/10/10,,40400.00 ,,
1/24/07,,39106.00 ,,
6/13/08,,39612.00 ,,
12/11/08,,39793.00 ,,
12/11/08,,39793.00 ,,
5/24/10,,40322.00 ,,
6/14/11,,40708.00 ,,
1/26/10,,40204.00 ,,
7/9/09,,40003.00 ,,
7/15/10,,40374.00 ,,
12/27/10,,40539.00 ,,
8/10/10,,40400.00 ,,
10/20/08,,39741.00 ,,
11/18/09,,40135.00 ,,
1/12/10,,40190.00 ,,
1/12/10,,40190.00 ,,
7/14/10,,40373.00 ,,
1/6/10,,40184.00 ,,
2/10/10,,40219.00 ,,
1/16/09,,39829.00 ,,
4/20/10,,40288.00 ,,
10/20/08,,39741.00 ,,
12/11/06,,39062.00 ,,
10/30/07,,39385.00 ,,
5/31/11,,40694.00 ,,
12/6/10,,40518.00 ,,
8/25/08,,39685.00 ,,
1/26/10,,40204.00 ,,
10/20/08,,39741.00 ,,
3/31/09,,39903.00 ,,
12/21/10,,40533.00 ,,
3/23/11,,40625.00 ,,
5/12/11,,40675.00 ,,
3/23/11,,40625.00 ,,
1/25/06,,38742.00 ,,
9/26/06,,38986.00 ,,
4/8/10,,40276.00 ,,
4/19/10,,40287.00 ,,
11/8/10,,40490.00 ,,
1/16/09,,39829.00 ,,
11/13/09,,40130.00 ,,
7/15/10,,40374.00 ,,
1/11/07,,39093.00 ,,
4/21/09,,39924.00 ,,
4/21/09,,39924.00 ,,
4/21/09,,39924.00 ,,
4/29/09,,39932.00 ,,
12/9/10,,40521.00 ,,
2/17/11,,40591.00 ,,
6/19/06,,38887.00 ,,
